evidence_id,capture_session_id,relative_path,sha256,size_bytes,captured_at_utc,source_url,notes
MG-EV-20260320-WEB-A-001,MG-CS-20260320-WEB-A,local_only/capture_sessions/MG-CS-20260320-WEB-A/downloads/MG-EV-20260320-WEB-A-001__official_game_record.json,91b8721c99744547d5df83e62492f34debf954c342965455e9ecaa8de357f16d,56923,2026-03-20T07:55:07Z,https://bgaming.com/wp-json/wp/v2/game/23724,Official game metadata and feature record. Raw body excluded from public git.
MG-EV-20260320-WEB-A-002,MG-CS-20260320-WEB-A,local_only/capture_sessions/MG-CS-20260320-WEB-A/downloads/MG-EV-20260320-WEB-A-002__official_release_article.json,8df95fd0e5b34b80d539a4a987884bec470b188330f0131ca75ed5eefd834f35,25972,2026-03-20T07:55:07Z,https://bgaming.com/wp-json/wp/v2/news/30341,Official release article and descriptive copy. Raw body excluded from public git.
MG-EV-20260320-WEB-A-003,MG-CS-20260320-WEB-A,local_only/capture_sessions/MG-CS-20260320-WEB-A/downloads/MG-EV-20260320-WEB-A-003__hero_portrait.webp,5b74579d3b7f82f10d2f0f88997d8b947273680dd25b77742c596345f16c484e,161242,2026-03-20T07:55:07Z,https://bgaming.com/wp-content/uploads/2025/06/6821c2010407bbd95bbcdf13_Mystery_Garden_1020%D1%851280.webp,Official hero portrait. Raw image excluded from public git.
MG-EV-20260320-WEB-A-004,MG-CS-20260320-WEB-A,local_only/capture_sessions/MG-CS-20260320-WEB-A/downloads/MG-EV-20260320-WEB-A-004__base_game_gallery.webp,31e95becb810058c64ad21a213c0eab943bd8cf2bb6485d8a832b31cb7c8f72d,233132,2026-03-20T07:55:07Z,https://bgaming.com/wp-content/uploads/2025/06/6821cc79d7a20dee334a97ab_Screenshot-2025-05-12-at-12.21.53-scaled.webp,Official base game screenshot. Raw image excluded from public git.
MG-EV-20260320-WEB-A-005,MG-CS-20260320-WEB-A,local_only/capture_sessions/MG-CS-20260320-WEB-A/downloads/MG-EV-20260320-WEB-A-005__bonus_game_gallery.webp,ba009799a8689fe0e12f39d63f4a6f1c90e87eb0986bb2389e4579db026343b4,294786,2026-03-20T07:55:07Z,https://bgaming.com/wp-content/uploads/2025/06/68248af6e8faebbb8f0650af_Mystery_garden_bonus_game_desktop.webp,Official bonus game screenshot. Raw image excluded from public git.
MG-EV-20260320-WEB-A-006,MG-CS-20260320-WEB-A,local_only/capture_sessions/MG-CS-20260320-WEB-A/downloads/MG-EV-20260320-WEB-A-006__scatter_gallery.webp,6aba54f8d6b54b9ebd50f36293cb4943ea3f20c2233da4367d0aaf7d957d612e,261064,2026-03-20T07:55:07Z,https://bgaming.com/wp-content/uploads/2025/06/68248aea05d32c8594d5886b_Mystery_garden_scatter_desktop.webp,Official scatter and win screenshot. Raw image excluded from public git.
MG-EV-20260320-WEB-A-007,MG-CS-20260320-WEB-A,local_only/capture_sessions/MG-CS-20260320-WEB-A/downloads/MG-EV-20260320-WEB-A-007__free_spins_gallery.webp,0585c8c94bbb0440096c6612eb2c2bf5c97ec227069cfc4ccc91f963ce93b4f1,167352,2026-03-20T07:55:07Z,https://bgaming.com/wp-content/uploads/2025/06/68248aec1131b68180575b72_Mystery_garden_free_spins_desktop.webp,Official free spins trigger screenshot. Raw image excluded from public git.
MG-EV-20260320-WEB-A-008,MG-CS-20260320-WEB-A,local_only/capture_sessions/MG-CS-20260320-WEB-A/downloads/MG-EV-20260320-WEB-A-008__buy_bonus_gallery.webp,e31023df8a02cf0e106da6bdd9ca2353f8d0602e0ab4dd40748c9e1a6966d1bf,131206,2026-03-20T07:55:07Z,https://bgaming.com/wp-content/uploads/2025/06/68248af1a6063e2dc273a5c1_Mystery_garden_buy_bonus_desktop.webp,Official buy bonus screenshot. Raw image excluded from public git.
MG-EV-20260320-LIVE-A-001,MG-CS-20260320-LIVE-A,local_only/capture_sessions/MG-CS-20260320-LIVE-A/downloads/MG-EV-20260320-LIVE-A-001__runtime_intro_click_to_start.png,870e70d75cb847bf7d5f37dd8e33b1cbca8ad6e25f1d22cf104f72905ea69843,4115345,2026-03-20T09:15:39Z,https://demo.bgaming-network.com/play/MysteryGarden/FUN?server=demo,Live intro or start screenshot. Raw image excluded from public git.
MG-EV-20260320-LIVE-A-002,MG-CS-20260320-LIVE-A,local_only/capture_sessions/MG-CS-20260320-LIVE-A/downloads/MG-EV-20260320-LIVE-A-002__runtime_base_idle_after_start.png,0c050a0ce3d2373a24310d5990f0e2b7b5c73b17fd1bf8f68def98f0e1312f6a,5221284,2026-03-20T09:15:40Z,https://demo.bgaming-network.com/play/MysteryGarden/FUN?server=demo,Live base-game idle screenshot after entry. Raw image excluded from public git.
MG-EV-20260320-LIVE-A-003,MG-CS-20260320-LIVE-A,local_only/capture_sessions/MG-CS-20260320-LIVE-A/downloads/MG-EV-20260320-LIVE-A-003__runtime_post_spin_base_game.png,da19aace434821b4b3c9e4cda24896afd8ac28f1b631da20ebe8b4b1dfead52f,5518904,2026-03-20T09:15:40Z,https://demo.bgaming-network.com/play/MysteryGarden/FUN?server=demo,Live post-spin screenshot. Raw image excluded from public git.
MG-EV-20260320-LIVE-A-004,MG-CS-20260320-LIVE-A,local_only/capture_sessions/MG-CS-20260320-LIVE-A/downloads/MG-EV-20260320-LIVE-A-004__runtime_init_request.json,ae2c32fc69343893def133a31b3bfc72bdfc4db4ee2711150cdff8339b2a730f,92,2026-03-20T09:15:29Z,https://demo.bgaming-network.com/api/MysteryGarden/<runtime-session-redacted>,Live init request body. Session path redacted and raw body excluded from public git.
MG-EV-20260320-LIVE-A-005,MG-CS-20260320-LIVE-A,local_only/capture_sessions/MG-CS-20260320-LIVE-A/downloads/MG-EV-20260320-LIVE-A-005__runtime_init_response.json,cd10b301e2810b9c5308b1c4ed9357147df30895626ee2a53b9f598b43afe92d,626,2026-03-20T09:15:29Z,https://demo.bgaming-network.com/api/MysteryGarden/<runtime-session-redacted>,Live init response body. Session path redacted and raw body excluded from public git.
MG-EV-20260320-LIVE-A-006,MG-CS-20260320-LIVE-A,capture_sessions/MG-CS-20260320-LIVE-A/MG-EV-20260320-LIVE-A-006__runtime_observation_notes.md,8138aceab32802c7433da0a577b8720fef5f7893c0277a75d87aa690e0fcbd87,3043,2026-03-20T09:27:01Z,https://demo.bgaming-network.com/play/MysteryGarden/FUN?server=demo,Live runtime observation notes and blockers.
